Feature,Contribution
0.00 < Visit_Frequency <= 0.33,-0.20018553798308397
0.00 < Used_Discount <= 0.50,-0.19520003186865997
0.21 < Preferred_Category <= 0.28,-0.02732874451277861
0.32 < Clusters <= 0.35,0.01925553758129671
Satisfaction_Score > 0.24,-0.01412468495596958
